C h:0.0169492
C GRID SIZE:60
C N:58
0 0.000287274 0.0011491 0.00258546 0.00459638 0.00718184 0.0103419 0.0140764 0.0183855 0.0232692 0.0287274 0.0347601 0.0413674 0.0485493 0.0563057 0.0646366 0.0735421 0.0830221 0.0930767 0.103706 0.11491 0.126688 0.139041 0.151968 0.16547 0.179546 0.194197 0.209423 0.225223 0.241597 0.258546 0.27607 0.294168 0.312841 0.332088 0.35191 0.372307 0.393278 0.414823 0.436943 0.459638 0.482907 0.506751 0.531169 0.556162 0.581729 0.607871 0.634588 0.661879 0.689744 0.718184 0.747199 0.776788 0.806952 0.83769 0.869003 0.900891 0.933352 0.966389 1 
4 2.0019 1.21372 0.844166 0.64394 0.521754 0.441491 0.385596 0.345169 0.315588 0.293495 0.277167 0.265371 0.25705 0.251748 0.24897 0.248295 0.24956 0.252532 0.257013 0.262937 0.27019 0.278658 0.288312 0.299104 0.310965 0.323881 0.337835 0.352796 0.368753 0.385713 0.403668 0.422619 0.442583 0.463581 0.485629 0.508758 0.533013 0.558443 0.585107 0.613085 0.642477 0.673405 0.706025 0.740537 0.777202 0.81636 0.85847 0.90416 0.954309 1.01019 1.07372 1.14789 1.23768 1.35194 1.50783 1.74232 2.14552 2.96792 5 
4 2.79326 2.0063 1.51657 1.20369 0.994256 0.847519 0.74103 0.66113 0.60003 0.552591 0.515266 0.485962 0.462961 0.445058 0.431505 0.421582 0.414771 0.410775 0.409235 0.409903 0.41264 0.417267 0.423641 0.431701 0.441358 0.452532 0.465193 0.479313 0.494853 0.511806 0.530182 0.549983 0.571225 0.593947 0.618198 0.644031 0.671524 0.70078 0.731919 0.76509 0.800485 0.838345 0.878971 0.922747 0.970169 1.02189 1.07877 1.14198 1.21314 1.29456 1.3896 1.50338 1.64395 1.82458 2.06806 2.41501 2.93849 3.75977 5 
4 3.16643 2.50164 2.01286 1.66055 1.40405 1.2138 1.06967 0.958251 0.870754 0.801108 0.745153 0.699962 0.663394 0.63387 0.610226 0.591575 0.5772 0.566577 0.559283 0.554969 0.553368 0.554273 0.557496 0.5629 0.570384 0.579855 0.591242 0.604504 0.619613 0.636544 0.655302 0.675904 0.698377 0.722768 0.749146 0.777597 0.808231 0.841188 0.876647 0.914823 0.955989 1.00048 1.04873 1.10128 1.15882 1.22224 1.29273 1.37184 1.46172 1.56529 1.68674 1.83208 2.01018 2.23438 2.52479 2.91115 3.4337 4.13265 5 
4 3.37054 2.82032 2.37269 2.02123 1.74772 1.53399 1.36581 1.23173 1.12383 1.03625 0.964482 0.905509 0.856909 0.816818 0.783962 0.757231 0.73576 0.718944 0.706234 0.697191 0.691504 0.68889 0.689114 0.692012 0.697444 0.705289 0.71547 0.727928 0.742622 0.759531 0.77866 0.800028 0.823673 0.849657 0.878066 0.909011 0.942632 0.979108 1.01866 1.06156 1.10815 1.15885 1.21418 1.27481 1.34156 1.41551 1.49803 1.59093 1.69657 1.81815 1.95999 2.128 2.3303 2.57794 2.88556 3.2711 3.75248 4.33714 5 
4 3.49698 3.03572 2.63681 2.30395 2.03122 1.80875 1.62738 1.4789 1.35654 1.25533 1.17109 1.10072 1.04193 0.992737 0.951696 0.917725 0.889829 0.867287 0.849555 0.836106 0.826555 0.82062 0.818018 0.81853 0.822016 0.828337 0.837378 0.849079 0.863399 0.880302 0.899791 0.921898 0.946665 0.974161 1.00449 1.03779 1.07422 1.11399 1.15735 1.20464 1.25622 1.31259 1.37434 1.44221 1.51711 1.60021 1.69297 1.79726 1.91548 2.05074 2.20707 2.38964 2.60506 2.86149 3.16838 3.53518 3.96801 4.46341 5 
4 3.58199 3.18878 2.83492 2.52704 2.26443 2.04264 1.85633 1.69986 1.56825 1.45734 1.36365 1.28433 1.21717 1.16034 1.11236 1.07207 1.03852 1.01091 0.988638 0.971191 0.958122 0.949101 0.943861 0.942152 0.943795 0.948659 0.956623 0.9676 0.981549 0.998444 1.01827 1.04107 1.06689 1.09581 1.12795 1.16344 1.20247 1.24529 1.29215 1.34343 1.39953 1.46098 1.52841 1.60259 1.68448 1.77526 1.87638 1.98966 2.11736 2.26228 2.4279 2.61841 2.83878 3.09456 3.39128 3.7332 4.12097 4.54847 5 
4 3.64305 3.30192 2.98714 2.70469 2.45663 2.24107 2.05537 1.89603 1.75934 1.64227 1.54193 1.45587 1.38217 1.31911 1.2653 1.21965 1.18119 1.14913 1.12286 1.10183 1.08561 1.07382 1.06618 1.06245 1.06242 1.06594 1.0729 1.0832 1.0968 1.11367 1.1338 1.15723 1.18401 1.21424 1.24802 1.28552 1.32693 1.37251 1.42253 1.47738 1.53749 1.6034 1.67573 1.75528 1.84299 1.93998 2.04765 2.16766 2.30203 2.45315 2.62384 2.81731 3.03709 3.28667 3.56897 3.88536 4.23422 4.60953 5 
4 3.68913 3.38883 3.10693 2.84843 2.61606 2.40971 2.22807 2.06931 1.93084 1.81039 1.70585 1.61511 1.53653 1.46867 1.41019 1.36009 1.3175 1.28161 1.25184 1.22767 1.20863 1.19436 1.18458 1.17901 1.17746 1.17978 1.18583 1.19552 1.20881 1.22565 1.24606 1.27006 1.29771 1.32911 1.36438 1.40369 1.44723 1.49526 1.54808 1.60607 1.66965 1.73937 1.81584 1.89982 1.9922 2.09404 2.20659 2.33132 2.46996 2.62445 2.79699 2.98992 3.20559 3.44605 3.71258 4.00503 4.32105 4.65544 5 
4 3.72487 3.45739 3.20314 2.96628 2.74956 2.55362 2.37818 2.22227 2.08432 1.9627 1.85584 1.76214 1.68017 1.60873 1.54668 1.49305 1.44708 1.40803 1.37529 1.3484 1.32691 1.31046 1.29875 1.29155 1.28864 1.28986 1.29509 1.30424 1.31724 1.33407 1.35473 1.37925 1.40769 1.44014 1.47674 1.51764 1.56306 1.61324 1.66848 1.72915 1.79568 1.86858 1.94843 2.03595 2.13194 2.23737 2.35334 2.48109 2.62202 2.7777 2.94974 3.13978 3.3493 3.57935 3.83025 4.10113 4.38954 4.6912 5 
