0 0.0592406 0.118273 0.17689 0.234886 0.292057 0.348202 0.403123 0.456629 0.508531 0.558647 0.6068 0.652822 0.696551 0.737833 0.776524 0.812487 0.845596 0.875735 0.902798 0.92669 0.947326 0.964636 0.978556 0.98904 0.99605 0.999561 0.999561 0.99605 0.98904 0.978556 0.964636 0.947326 0.92669 0.902798 0.875735 0.845596 0.812487 0.776524 0.737833 0.696551 0.652822 0.6068 0.558647 0.508531 0.456629 0.403123 0.348202 0.292057 0.234886 0.17689 0.118273 
4 2.04751 1.30428 0.979577 0.82274 0.743481 0.704666 0.688986 0.687447 0.694923 0.70827 0.72543 0.744988 0.765922 0.787467 0.809033 0.830151 0.850442 0.869594 0.887352 0.903501 0.917868 0.930312 0.940724 0.949024 0.955161 0.959111 0.960878 0.960494 0.958018 0.953541 0.947182 0.939097 0.929477 0.918555 0.906619 0.894016 0.881174 0.868628 0.85706 0.847362 0.840737 0.838869 0.844226 0.8606 0.894201 0.955963 1.06697 1.2725 1.68272 2.60353 5 
4 2.82662 2.07197 1.61469 1.3334 1.15493 1.03854 0.961333 0.909937 0.876192 0.854877 0.842506 0.836655 0.835587 0.838007 0.842933 0.849597 0.857389 0.865817 0.874485 0.883068 0.891308 0.898998 0.905985 0.912158 0.917453 0.921848 0.925362 0.928057 0.93004 0.931463 0.932526 0.933485 0.934656 0.936428 0.939271 0.943772 0.950651 0.960823 0.975458 0.996103 1.02485 1.06461 1.11962 1.1962 1.30428 1.46013 1.69167 2.0486 2.62022 3.55463 5 
4 3.1872 2.54269 2.07438 1.74199 1.50524 1.33434 1.20911 1.11615 1.04652 0.994133 0.954734 0.925289 0.903565 0.88789 0.876976 0.869819 0.865618 0.863731 0.863637 0.864918 0.867238 0.870335 0.874013 0.878136 0.882627 0.887465 0.892685 0.898379 0.904696 0.911846 0.920105 0.929818 0.941415 0.955416 0.972463 0.993335 1.019 1.05068 1.08992 1.13874 1.19984 1.27691 1.37509 1.50179 1.6679 1.88974 2.19191 2.61073 3.19539 3.99502 5 
4 3.37979 2.83778 2.39901 2.05609 1.7911 1.5861 1.42645 1.30108 1.20183 1.12277 1.05951 1.0088 0.968184 0.935763 0.910066 0.889921 0.874393 0.862723 0.854297 0.848617 0.845286 0.843993 0.844508 0.846674 0.850403 0.855677 0.862546 0.871128 0.88161 0.894257 0.909404 0.927482 0.94901 0.974627 1.0051 1.04136 1.08457 1.13615 1.19789 1.27208 1.36172 1.47075 1.6045 1.77021 1.97778 2.24071 2.57686 3.0081 3.55628 4.23043 5 
4 3.49457 3.03041 2.62895 2.29377 2.0188 1.79467 1.61197 1.46258 1.3399 1.23874 1.15504 1.08567 1.02816 0.980554 0.941303 0.909155 0.883087 0.862269 0.846019 0.833784 0.825118 0.819676 0.817199 0.817515 0.820529 0.826227 0.834671 0.846003 0.860446 0.878304 0.899972 0.92594 0.956808 0.993293 1.03626 1.08676 1.14604 1.21565 1.29748 1.39391 1.50795 1.64341 1.80523 1.99972 2.23491 2.5207 2.86856 3.28991 3.79214 4.37089 5 
4 3.56856 3.16129 2.79403 2.47309 2.19795 1.96447 1.76722 1.60073 1.46008 1.3411 1.24033 1.15493 1.08261 1.02149 0.970018 0.926937 0.8912 0.861936 0.838431 0.820092 0.806448 0.797125 0.791849 0.790434 0.792784 0.798888 0.80882 0.822744 0.840909 0.863657 0.891423 0.924749 0.964283 1.01081 1.06525 1.12869 1.20246 1.28811 1.38753 1.50302 1.63739 1.79409 1.97732 2.19218 2.44465 2.7414 3.08902 3.49257 3.95265 4.46157 5 
4 3.61895 3.25328 2.91448 2.60883 2.33813 2.1012 1.89528 1.71699 1.5629 1.42986 1.31508 1.21616 1.13107 1.05809 0.995755 0.942858 0.89836 0.861397 0.831236 0.807281 0.789038 0.776125 0.768254 0.765237 0.766975 0.773463 0.784788 0.801128 0.822757 0.850041 0.88345 0.923554 0.971043 1.02672 1.09154 1.16662 1.25324 1.35293 1.46749 1.59901 1.75001 1.92339 2.12256 2.35137 2.61397 2.91448 3.25625 3.64073 4.06569 4.52346 5 
4 3.65462 3.3197 3.00371 2.71215 2.44764 2.21056 1.99984 1.81359 1.6496 1.50562 1.37952 1.26935 1.17339 1.09014 1.01828 0.956666 0.904327 0.860416 0.824224 0.795149 0.772704 0.756499 0.746249 0.741761 0.742941 0.74979 0.762404 0.780976 0.805793 0.837245 0.875817 0.922105 0.976805 1.04074 1.11485 1.20023 1.29812 1.40995 1.53734 1.68217 1.84655 2.03284 2.24366 2.48174 2.74978 3.05005 3.38387 3.75075 4.14749 4.56736 5 
4 3.68057 3.36866 3.07067 2.79126 2.5332 2.29765 2.08455 1.89305 1.72184 1.56942 1.43425 1.31481 1.20971 1.11766 1.03752 0.968259 0.908968 0.85886 0.817249 0.783559 0.757307 0.738117 0.725702 0.719877 0.720553 0.727736 0.741533 0.762144 0.789872 0.825113 0.868369 0.920233 0.981414 1.05271 1.13505 1.22947 1.33712 1.45932 1.59749 1.75323 1.92827 2.12445 2.34367 2.58775 2.8583 3.15632 3.48188 3.83356 4.20796 4.59939 5 
