0 0.239316 0.464723 0.663123 0.822984 0.935016 0.992709 0.992709 0.935016 0.822984 0.663123 0.464723 
4 2.20316 1.60995 1.42467 1.39347 1.42617 1.49164 1.58994 1.75409 2.08359 2.86442 5 
4 2.96353 2.34744 2.03236 1.90032 1.88479 1.95794 2.12148 2.40793 2.89293 3.71098 5 
4 3.30373 2.7842 2.45732 2.291 2.25503 2.33414 2.53032 2.86337 3.36932 4.08657 5 
4 3.46741 3.02863 2.72208 2.55169 2.51052 2.59355 2.80253 3.14607 3.63451 4.26598 5 
4 3.53754 3.14116 2.85106 2.68352 2.64218 2.7273 2.9404 3.28402 3.75673 4.34284 5 
4 3.54183 3.14773 2.85781 2.68949 2.64768 2.73336 2.94795 3.29303 3.76561 4.34864 5 
4 3.48227 3.05039 2.74325 2.56925 2.52594 2.61075 2.82516 3.17465 3.66409 4.28612 5 
4 3.33701 2.82854 2.49577 2.31855 2.27631 2.3587 2.56743 2.9164 3.43001 4.13175 5 
4 3.03734 2.43115 2.09288 1.93302 1.90217 1.98042 2.16955 2.49356 3.00782 3.81086 5 
4 2.38129 1.76593 1.51165 1.41858 1.41899 1.4913 1.63681 1.88048 2.29686 3.10386 5 
0.715976 0.721893 0.739645 0.769231 0.810651 0.863905 0.928994 1.00592 1.09467 1.19527 1.30769 1.43195 
