0 0.239316 0.464723 0.663123 0.822984 0.935016 0.992709 0.992709 0.935016 0.822984 0.663123 0.464723 
4 2.20335 1.61025 1.42521 1.3942 1.42679 1.49223 1.59065 1.75481 2.0841 2.86456 5 
4 2.96397 2.34816 2.03322 1.90143 1.88594 1.95915 2.12276 2.40915 2.89386 3.71133 5 
4 3.30422 2.78501 2.45835 2.29237 2.25656 2.33575 2.5319 2.86472 3.37042 4.08707 5 
4 3.46792 3.02949 2.72323 2.55322 2.51225 2.59539 2.80434 3.14749 3.63558 4.26651 5 
4 3.53797 3.14198 2.85222 2.68508 2.64394 2.72918 2.94227 3.2855 3.75776 4.34337 5 
4 3.54219 3.14848 2.85892 2.69101 2.6494 2.73518 2.94972 3.29449 3.76662 4.34919 5 
4 3.48262 3.0511 2.74427 2.57064 2.52753 2.61239 2.82668 3.17592 3.66499 4.28662 5 
4 3.33735 2.82922 2.49666 2.31965 2.2776 2.36007 2.56866 2.91745 3.43077 4.13217 5 
4 3.0376 2.43176 2.09368 1.93383 1.90301 1.98137 2.17043 2.49434 3.00829 3.81107 5 
4 2.38136 1.76618 1.51202 1.41894 1.41941 1.49188 1.63723 1.88077 2.29708 3.10401 5 
0.715976 0.721893 0.739645 0.769231 0.810651 0.863905 0.928994 1.00592 1.09467 1.19527 1.30769 1.43195 
